"Incident Zip","Problem Detail (formerly Descriptor)","count_descriptor"
"10455","Traffic Sign or Signal Blocked","1"
"10457","Hitting Power Lines","10"
"10031","Hitting Power Lines","1"
"10038","Blocking Street","11"
"11203","Hitting Power Lines","231"
"11208","Blocking Street","300"
"11204","Hitting Power/Phone Lines","9"
"11229","Blocking Street","394"
"10468","Hitting Power/Phone Lines","3"
"11225","Hitting Phone/Cable Lines","6"
"10471","Hitting Power/Phone Lines","16"
"11225","Hitting Power Lines","11"
"10302","Hitting Building","171"
"10474","Clear Street Light","1"
"10458","Blocking Street","44"
"11372","Dead Branches in Tree","167"
"10309","Traffic Sign or Signal Blocked","70"
"10306","Hitting Building","637"
"11223","Blocking Street","253"
"11358","Hitting Power/Phone Lines","28"
"10469","Hitting Phone/Cable Lines","129"
"10025","Traffic Sign or Signal Blocked","18"
"11373","Hitting Power Lines","114"
"11219","Hitting Power Lines","51"
"10028","Traffic Sign or Signal Blocked","7"
"11234","Blocking Street","580"
,"Traffic Sign or Signal Blocked","77"
"10312","Blocking Street","653"
"11429","Hitting Phone/Cable Lines","52"
"11429","Hitting Building","194"
"10035","Clear Street Light","12"
,"Dead Branches in Tree","105"
"11365","Clear Street Light","41"
"10009","Hitting Power Lines","3"
"10030","Traffic Sign or Signal Blocked","8"
"10162","Dead Branches in Tree","1"
"11208","Hitting Power/Phone Lines","76"
"11205","Hitting Phone/Cable Lines","1"
"10310","Traffic Sign or Signal Blocked","19"
"10462","Hitting Building","267"
"11385","Traffic Sign or Signal Blocked","43"
"11229","Hitting Power Lines","254"
"10039","Traffic Sign or Signal Blocked","3"
"11379","Hitting Building","507"
"10463","Hitting Phone/Cable Lines","20"
"11357","Hitting Power/Phone Lines","50"
"11354","Hitting Building","239"
"10461","Traffic Sign or Signal Blocked","17"
"11691","Traffic Sign or Signal Blocked","16"
"10028","Hitting Building","38"
"10010","Blocking Street","7"
"11208","Traffic Sign or Signal Blocked","51"
,"Hitting Power/Phone Lines","45"
"11435","Hitting Power/Phone Lines","57"
"11414","Hitting Power Lines","105"
"10458","Hitting Power Lines","22"
"11206","Hitting Building","160"
"10016","Traffic Sign or Signal Blocked","5"
"10458","Hitting Power/Phone Lines","3"
"10470","Traffic Sign or Signal Blocked","10"
"11367","Hitting Power/Phone Lines","10"
"10314","Blocking Street","577"
"11105","Clear Street Light","18"
"10023","Clear Street Light","6"
"11220","Dead Branches in Tree","139"
"11368","Traffic Sign or Signal Blocked","10"
"11427","Hitting Power/Phone Lines","15"
"11417","Traffic Sign or Signal Blocked","26"
"10025","Dead Branches in Tree","88"
"11232","Hitting Building","87"
"10312","Hitting Building","546"
"11101","Hitting Power/Phone Lines","4"
"11231","Dead Branches in Tree","133"
"10307","Blocking Street","134"
"11372","Traffic Sign or Signal Blocked","17"
"11418","Blocking Street","133"
"11208","Hitting Power Lines","248"
"11358","Hitting Building","446"
"11379","Clear Street Light","46"
"10465","Hitting Power Lines","232"
"11414","Hitting Power/Phone Lines","33"
"10032","Hitting Power/Phone Lines","1"
"11427","Hitting Power Lines","64"
"11216","Hitting Phone/Cable Lines","14"
"11106","Hitting Building","245"
"10039","Blocking Street","19"
"10470","Hitting Power/Phone Lines","16"
"11204","Dead Branches in Tree","227"
"10469","Dead Branches in Tree","132"
"10460","Clear Street Light","15"
"10464","Traffic Sign or Signal Blocked","7"
"11434","Hitting Power Lines","345"
"11239","Traffic Sign or Signal Blocked","2"
"10001","Hitting Power/Phone Lines","1"
"11411","Hitting Phone/Cable Lines","26"
"11415","Traffic Sign or Signal Blocked","4"
"11228","Hitting Power Lines","207"
"10470","Hitting Building","136"
"11367","Hitting Building","316"
"11361","Clear Street Light","32"
"11040","Clear Street Light","1"
"10471","Hitting Building","70"
"11249","Hitting Power Lines","3"
"11415","Hitting Building","77"
"11416","Blocking Street","54"
"10469","Hitting Power/Phone Lines","70"
"10465","Blocking Street","190"
"11365","Hitting Building","310"
"10474","Hitting Building","14"
"10307","Hitting Phone/Cable Lines","54"
"10075","Hitting Phone/Cable Lines","1"
"10453","Hitting Building","112"
"11219","Hitting Power/Phone Lines","12"
"11214","Hitting Power Lines","121"
"11222","Hitting Phone/Cable Lines","56"
"10007","Traffic Sign or Signal Blocked","3"
"10031","Traffic Sign or Signal Blocked","4"
"11237","Dead Branches in Tree","60"
"10012","Hitting Building","48"
"11377","Hitting Building","386"
"10305","Clear Street Light","21"
"11358","Blocking Street","318"
"10032","Traffic Sign or Signal Blocked","6"
"11231","Hitting Power Lines","22"
"11373","Clear Street Light","34"
"11418","Hitting Building","211"
"11416","Hitting Power Lines","94"
"10023","Hitting Phone/Cable Lines","1"
"10029","Dead Branches in Tree","19"
"11694","Dead Branches in Tree","39"
"11378","Hitting Power Lines","122"
"10303","Hitting Power Lines","101"
"11435","Clear Street Light","45"
"11429","Clear Street Light","23"
"11222","Hitting Building","548"
"10128","Blocking Street","16"
"10464","Dead Branches in Tree","32"
"11428","Traffic Sign or Signal Blocked","13"
"11420","Clear Street Light","49"
"11691","Hitting Phone/Cable Lines","35"
"11232","Clear Street Light","6"
"10452","Hitting Building","45"
"10030","Hitting Building","72"
,"Clear Street Light","40"
"11236","Hitting Phone/Cable Lines","215"
"10451","Hitting Power Lines","3"
"10069","Dead Branches in Tree","1"
"10456","Hitting Power Lines","11"
"11230","Clear Street Light","78"
"11436","Hitting Building","236"
"11203","Hitting Power/Phone Lines","61"
"11230","Hitting Building","913"
"10038","Hitting Phone/Cable Lines","1"
"11377","Dead Branches in Tree","219"
"10456","Hitting Power/Phone Lines","6"
"11210","Hitting Power Lines","214"
"10021","Hitting Power Lines","1"
"10039","Dead Branches in Tree","8"
"11370","Traffic Sign or Signal Blocked","20"
"10036","Dead Branches in Tree","13"
"10306","Hitting Power/Phone Lines","142"
"11694","Traffic Sign or Signal Blocked","10"
"10314","Traffic Sign or Signal Blocked","84"
"10304","Hitting Power/Phone Lines","81"
"11235","Hitting Power Lines","90"
"11421","Clear Street Light","33"
"11219","Blocking Street","184"
"11421","Hitting Power Lines","145"
"11222","Hitting Power/Phone Lines","9"
"11692","Hitting Building","22"
"11356","Traffic Sign or Signal Blocked","17"
"11375","Traffic Sign or Signal Blocked","40"
"10312","Clear Street Light","84"
"11225","Clear Street Light","45"
"11367","Blocking Street","246"
"10305","Dead Branches in Tree","123"
"11237","Clear Street Light","13"
"10024","Hitting Power Lines","1"
"11357","Hitting Power Lines","167"
"11223","Hitting Power Lines","200"
"11422","Hitting Power Lines","162"
"10310","Hitting Building","150"
"10457","Hitting Phone/Cable Lines","13"
"10002","Blocking Street","21"
"11223","Dead Branches in Tree","226"
"11103","Traffic Sign or Signal Blocked","13"
"11356","Blocking Street","62"
"11365","Hitting Phone/Cable Lines","36"
"11419","Blocking Street","165"
"11221","Clear Street Light","71"
"10027","Traffic Sign or Signal Blocked","5"
"10026","Hitting Building","96"
"11429","Hitting Power/Phone Lines","20"
"11040","Dead Branches in Tree","18"
"11421","Traffic Sign or Signal Blocked","6"
"11216","Traffic Sign or Signal Blocked","34"
"10026","Dead Branches in Tree","16"
"11206","Blocking Street","79"
"11436","Hitting Power Lines","120"
"11233","Hitting Power/Phone Lines","6"
"10007","Clear Street Light","1"
"11230","Blocking Street","422"
"10004","Traffic Sign or Signal Blocked","2"
"10162","Hitting Building","2"
"10472","Hitting Power/Phone Lines","10"
"11217","Blocking Street","107"
"11692","Hitting Power Lines","20"
"11367","Hitting Power Lines","21"
"10303","Hitting Power/Phone Lines","17"
"11419","Hitting Phone/Cable Lines","63"
"11209","Traffic Sign or Signal Blocked","48"
"11106","Hitting Power/Phone Lines","5"
"11428","Hitting Phone/Cable Lines","71"
"10471","Dead Branches in Tree","54"
"10456","Hitting Phone/Cable Lines","6"
"11421","Dead Branches in Tree","132"
"10473","Clear Street Light","13"
"11372","Blocking Street","77"
"11428","Blocking Street","162"
"11249","Clear Street Light","20"
"10128","Dead Branches in Tree","29"
"10016","Hitting Building","23"
"11433","Blocking Street","130"
"11104","Hitting Building","141"
"11414","Hitting Building","120"
"10464","Clear Street Light","5"
"10036","Blocking Street","7"
"10309","Hitting Power Lines","232"
"10040","Hitting Building","45"
"10451","Hitting Phone/Cable Lines","4"
"11367","Traffic Sign or Signal Blocked","37"
"10467","Hitting Phone/Cable Lines","30"
"11004","Hitting Phone/Cable Lines","9"
"10308","Hitting Phone/Cable Lines","106"
"10466","Hitting Power Lines","237"
"11106","Dead Branches in Tree","85"
"11214","Hitting Phone/Cable Lines","47"
"10308","Dead Branches in Tree","192"
"10460","Hitting Power Lines","28"
"11213","Hitting Phone/Cable Lines","11"
"11432","Dead Branches in Tree","115"
"11418","Hitting Power/Phone Lines","23"
"11365","Hitting Power Lines","45"
"11221","Dead Branches in Tree","217"
"11201","Hitting Building","157"
"11212","Dead Branches in Tree","111"
"10309","Hitting Power/Phone Lines","62"
"11358","Traffic Sign or Signal Blocked","48"
"10303","Hitting Phone/Cable Lines","31"
"11377","Traffic Sign or Signal Blocked","33"
"10458","Hitting Building","120"
"10032","Hitting Power Lines","1"
"11223","Hitting Building","596"
"11369","Traffic Sign or Signal Blocked","14"
"10453","Blocking Street","53"
"11235","Traffic Sign or Signal Blocked","38"
"10029","Hitting Power Lines","1"
"11428","Hitting Building","224"
"10475","Dead Branches in Tree","12"
"11234","Hitting Power Lines","688"
"10308","Traffic Sign or Signal Blocked","55"
"10128","Traffic Sign or Signal Blocked","5"
"10035","Traffic Sign or Signal Blocked","7"
"11215","Blocking Street","211"
"10001","Blocking Street","8"
"10473","Hitting Building","133"
"10026","Traffic Sign or Signal Blocked","5"
"10000","Blocking Street","1"
"10032","Hitting Building","62"
"11692","Clear Street Light","4"
"10461","Hitting Power/Phone Lines","56"
"11360","Hitting Building","88"
"11419","Hitting Building","464"
"11372","Hitting Building","252"
"11231","Hitting Power/Phone Lines","3"
"10019","Traffic Sign or Signal Blocked","8"
"10310","Clear Street Light","3"
"11205","Clear Street Light","15"
"10466","Dead Branches in Tree","86"
"11372","Hitting Phone/Cable Lines","5"
"11235","Blocking Street","190"
"11377","Hitting Phone/Cable Lines","34"
"11436","Hitting Phone/Cable Lines","67"
"11355","Hitting Building","212"
"11234","Dead Branches in Tree","657"
"10314","Hitting Phone/Cable Lines","220"
"11417","Dead Branches in Tree","123"
"11426","Traffic Sign or Signal Blocked","25"
"11001","Clear Street Light","5"
"10463","Clear Street Light","20"
"11418","Traffic Sign or Signal Blocked","6"
"11413","Hitting Power/Phone Lines","98"
"10032","Clear Street Light","3"
"11363","Hitting Building","74"
"11224","Hitting Power Lines","21"
"11220","Blocking Street","146"
"10011","Hitting Building","46"
"10282","Hitting Building","2"
"11239","Clear Street Light","7"
"11411","Hitting Power Lines","44"
"11213","Hitting Power/Phone Lines","3"
"11219","Dead Branches in Tree","155"
"11427","Blocking Street","156"
"11211","Hitting Building","390"
"11105","Blocking Street","164"
"11411","Dead Branches in Tree","166"
"11694","Blocking Street","58"
"10014","Blocking Street","18"
"10462","Clear Street Light","20"
"10003","Dead Branches in Tree","42"
"11357","Dead Branches in Tree","401"
"11378","Clear Street Light","29"
"11210","Clear Street Light","89"
"11357","Traffic Sign or Signal Blocked","74"
"10458","Hitting Phone/Cable Lines","13"
"11377","Hitting Power/Phone Lines","42"
"10462","Dead Branches in Tree","47"
"11420","Traffic Sign or Signal Blocked","50"
"10031","Hitting Building","108"
"11001","Hitting Phone/Cable Lines","8"
"11413","Hitting Building","457"
"10461","Blocking Street","192"
"10034","Clear Street Light","5"
"10302","Clear Street Light","16"
"11356","Dead Branches in Tree","48"
"10128","Hitting Building","39"
"11226","Blocking Street","200"
"11209","Hitting Power/Phone Lines","19"
"11221","Hitting Power/Phone Lines","8"
,"Hitting Phone/Cable Lines","6"
"11434","Clear Street Light","73"
"10451","Clear Street Light","14"
"11432","Blocking Street","188"
"11206","Traffic Sign or Signal Blocked","10"
"11104","Hitting Phone/Cable Lines","10"
"11372","Clear Street Light","31"
"11363","Hitting Phone/Cable Lines","24"
"11216","Clear Street Light","50"
"10459","Hitting Power/Phone Lines","9"
"11357","Clear Street Light","48"
"11414","Traffic Sign or Signal Blocked","23"
"11414","Dead Branches in Tree","133"
"11412","Traffic Sign or Signal Blocked","42"
,"Hitting Power Lines","24"
"10457","Hitting Building","101"
"10029","Traffic Sign or Signal Blocked","9"
"11103","Hitting Building","198"
"10467","Hitting Building","269"
"11105","Traffic Sign or Signal Blocked","23"
"10012","Clear Street Light","3"
"10018","Blocking Street","2"
"11420","Hitting Power/Phone Lines","108"
"11224","Clear Street Light","1"
"11209","Hitting Building","873"
"10306","Dead Branches in Tree","502"
"10003","Clear Street Light","2"
"11694","Hitting Power Lines","49"
"11365","Hitting Power/Phone Lines","10"
"11412","Hitting Power Lines","223"
"11697","Traffic Sign or Signal Blocked","1"
"10314","Hitting Power/Phone Lines","157"
"11220","Traffic Sign or Signal Blocked","13"
"10022","Dead Branches in Tree","20"
"11375","Hitting Phone/Cable Lines","51"
"10024","Clear Street Light","3"
"11693","Hitting Power/Phone Lines","2"
"11434","Blocking Street","431"
"10314","Hitting Building","704"
"10036","Clear Street Light","1"
"10307","Hitting Power/Phone Lines","42"
"10010","Hitting Building","15"
"10306","Clear Street Light","47"
"11213","Clear Street Light","52"
"10035","Hitting Phone/Cable Lines","1"
"11368","Hitting Power/Phone Lines","29"
"10462","Hitting Phone/Cable Lines","36"
"10458","Clear Street Light","5"
"10470","Clear Street Light","8"
"11105","Hitting Building","280"
"10037","Clear Street Light","43"
"11433","Hitting Building","299"
"10018","Dead Branches in Tree","1"
"11224","Traffic Sign or Signal Blocked","6"
"11104","Hitting Power Lines","10"
"10032","Blocking Street","26"
"11373","Hitting Building","379"
"10031","Blocking Street","30"
"10023","Dead Branches in Tree","51"
"10473","Hitting Power/Phone Lines","36"
"11213","Hitting Power Lines","4"
"11373","Blocking Street","107"
"11378","Hitting Building","357"
"11434","Hitting Phone/Cable Lines","184"
"11411","Clear Street Light","13"
"10017","Hitting Building","9"
"11226","Hitting Power/Phone Lines","2"
"11428","Clear Street Light","31"
"10302","Dead Branches in Tree","93"
"10472","Hitting Power Lines","29"
"11219","Clear Street Light","21"
"11214","Hitting Building","521"
"11237","Hitting Power Lines","50"
"10027","Dead Branches in Tree","35"
"10306","Hitting Power Lines","463"
"11234","Hitting Building","1,432"
"10469","Traffic Sign or Signal Blocked","29"
"11373","Traffic Sign or Signal Blocked","20"
"10004","Dead Branches in Tree","2"
"10464","Blocking Street","43"
"11224","Blocking Street","26"
"11423","Traffic Sign or Signal Blocked","9"
"10455","Hitting Power Lines","18"
"11216","Blocking Street","271"
"10305","Hitting Power Lines","229"
"10470","Blocking Street","39"
"11432","Hitting Power Lines","125"
"11230","Hitting Phone/Cable Lines","44"
"11238","Hitting Power/Phone Lines","2"
"10014","Hitting Power/Phone Lines","1"
"11434","Dead Branches in Tree","176"
"11005","Blocking Street","1"
"10005","Dead Branches in Tree","1"
"11229","Dead Branches in Tree","355"
"11357","Blocking Street","332"
"11364","Traffic Sign or Signal Blocked","20"
"11422","Clear Street Light","34"
"10314","Dead Branches in Tree","480"
"11225","Hitting Building","290"
"10031","Clear Street Light","9"
"11374","Hitting Power Lines","35"
"11105","Hitting Power/Phone Lines","22"
"11236","Blocking Street","370"
"10065","Hitting Power Lines","1"
"10454","Dead Branches in Tree","10"
"10468","Traffic Sign or Signal Blocked","7"
"10023","Hitting Building","44"
"11001","Blocking Street","14"
"11385","Hitting Building","898"
"10475","Clear Street Light","5"
"11235","Clear Street Light","13"
"11367","Hitting Phone/Cable Lines","9"
"11436","Hitting Power/Phone Lines","59"
"11203","Dead Branches in Tree","222"
"10454","Blocking Street","30"
"11249","Hitting Phone/Cable Lines","2"
"11239","Hitting Building","203"
"11208","Clear Street Light","51"
"11362","Dead Branches in Tree","131"
"10303","Blocking Street","95"
"11229","Clear Street Light","49"
"11415","Hitting Power Lines","10"
"10464","Hitting Power Lines","45"
"11101","Hitting Building","142"
"11217","Hitting Phone/Cable Lines","3"
"11427","Traffic Sign or Signal Blocked","11"
"11355","Hitting Power/Phone Lines","12"
"11426","Hitting Building","385"
"10001","Hitting Building","19"
"10304","Hitting Phone/Cable Lines","105"
"11236","Dead Branches in Tree","263"
"11374","Hitting Phone/Cable Lines","16"
"11385","Blocking Street","262"
"10456","Blocking Street","47"
"10301","Traffic Sign or Signal Blocked","45"
"10038","Dead Branches in Tree","7"
"11413","Clear Street Light","69"
"10309","Hitting Building","192"
"11207","Hitting Power Lines","202"
"11418","Hitting Phone/Cable Lines","38"
"10459","Traffic Sign or Signal Blocked","9"
"10455","Hitting Building","59"
"11360","Blocking Street","90"
"11101","Blocking Street","79"
"10001","Clear Street Light","3"
"10308","Hitting Power/Phone Lines","62"
"11378","Hitting Phone/Cable Lines","78"
"11230","Traffic Sign or Signal Blocked","68"
"10012","Blocking Street","7"
"10031","Dead Branches in Tree","50"
"10473","Blocking Street","105"
"11106","Hitting Phone/Cable Lines","15"
"10471","Clear Street Light","7"
"10470","Hitting Phone/Cable Lines","20"
"10467","Hitting Power/Phone Lines","77"
"11101","Clear Street Light","6"
"10027","Hitting Power Lines","4"
"11239","Blocking Street","24"
"10310","Hitting Power Lines","157"
"10453","Traffic Sign or Signal Blocked","8"
"11356","Hitting Phone/Cable Lines","41"
"11692","Hitting Phone/Cable Lines","8"
"10469","Hitting Building","470"
"10009","Dead Branches in Tree","44"
"11429","Dead Branches in Tree","107"
"11413","Dead Branches in Tree","236"
"10027","Hitting Building","121"
"10469","Hitting Power Lines","303"
"11207","Hitting Building","590"
"10475","Hitting Building","15"
,"Hitting Building","109"
"10451","Dead Branches in Tree","13"
"11378","Dead Branches in Tree","171"
"11216","Dead Branches in Tree","150"
"11417","Hitting Building","423"
"10459","Blocking Street","54"
"11379","Blocking Street","267"
"10302","Blocking Street","122"
"11210","Traffic Sign or Signal Blocked","65"
"10028","Hitting Power Lines","1"
"11231","Traffic Sign or Signal Blocked","15"
"11231","Hitting Building","259"
"11692","Traffic Sign or Signal Blocked","5"
"10310","Hitting Power/Phone Lines","42"
"11691","Hitting Power Lines","75"
"11221","Blocking Street","283"
"11222","Traffic Sign or Signal Blocked","24"
"10035","Hitting Power Lines","1"
"10069","Blocking Street","1"
"10065","Dead Branches in Tree","19"
"10460","Hitting Power/Phone Lines","3"
"11211","Clear Street Light","25"
"11697","Dead Branches in Tree","1"
"10461","Dead Branches in Tree","95"
"11366","Dead Branches in Tree","118"
"11436","Dead Branches in Tree","69"
"10128","Clear Street Light","2"
"11373","Hitting Phone/Cable Lines","73"
"11368","Clear Street Light","25"
"11209","Blocking Street","322"
"10470","Dead Branches in Tree","37"
"11001","Hitting Power Lines","14"
"11215","Hitting Phone/Cable Lines","7"
"10024","Blocking Street","26"
"11417","Hitting Phone/Cable Lines","82"
"11360","Hitting Power/Phone Lines","6"
"11233","Hitting Building","502"
"10065","Clear Street Light","1"
"11208","Hitting Building","523"
"10453","Clear Street Light","16"
"11236","Traffic Sign or Signal Blocked","37"
"11416","Hitting Phone/Cable Lines","46"
"11104","Traffic Sign or Signal Blocked","10"
"11221","Hitting Phone/Cable Lines","18"
"11357","Hitting Phone/Cable Lines","80"
"10465","Dead Branches in Tree","121"
"11230","Hitting Power Lines","70"
"11221","Hitting Power Lines","23"
"10460","Traffic Sign or Signal Blocked","17"
"10460","Hitting Building","164"
"11365","Traffic Sign or Signal Blocked","30"
"10012","Dead Branches in Tree","9"
"11432","Clear Street Light","24"
"10473","Hitting Phone/Cable Lines","39"
"11418","Hitting Power Lines","83"
"11235","Hitting Building","299"
"11355","Traffic Sign or Signal Blocked","26"
"10019","Hitting Building","31"
"11233","Clear Street Light","60"
"11004","Traffic Sign or Signal Blocked","9"
"10471","Blocking Street","42"
"11214","Clear Street Light","42"
"10468","Hitting Building","69"
"11364","Dead Branches in Tree","281"
"10452","Clear Street Light","12"
"11694","Clear Street Light","3"
"11361","Dead Branches in Tree","222"
"10010","Clear Street Light","1"
"10075","Dead Branches in Tree","23"
"10011","Clear Street Light","3"
"11218","Dead Branches in Tree","257"
"10031","Hitting Phone/Cable Lines","2"
"11417","Blocking Street","118"
"11694","Hitting Power/Phone Lines","10"
"11215","Clear Street Light","58"
"11365","Dead Branches in Tree","203"
"11104","Dead Branches in Tree","118"
"10302","Hitting Phone/Cable Lines","50"
"11363","Clear Street Light","3"
"10034","Traffic Sign or Signal Blocked","6"
"11223","Hitting Power/Phone Lines","57"
"10465","Hitting Building","247"
"11363","Traffic Sign or Signal Blocked","15"
"11415","Blocking Street","63"
"10452","Hitting Power/Phone Lines","3"
"10467","Traffic Sign or Signal Blocked","27"
"11377","Clear Street Light","46"
"11004","Clear Street Light","17"
"11364","Hitting Building","394"
"10035","Dead Branches in Tree","18"
"10455","Clear Street Light","13"
"11004","Hitting Building","136"
"10040","Blocking Street","20"
"11210","Hitting Building","770"
"11379","Hitting Phone/Cable Lines","100"
"10018","Hitting Building","4"
"10022","Hitting Building","15"
"10456","Traffic Sign or Signal Blocked","11"
"10013","Traffic Sign or Signal Blocked","6"
"11411","Blocking Street","206"
"11102","Traffic Sign or Signal Blocked","15"
"11209","Hitting Phone/Cable Lines","46"
"11225","Blocking Street","140"
"11697","Blocking Street","3"
"10304","Clear Street Light","34"
"10460","Dead Branches in Tree","24"
"11691","Hitting Building","102"
"11220","Hitting Phone/Cable Lines","13"
"11413","Traffic Sign or Signal Blocked","32"
"10463","Hitting Power Lines","35"
"11420","Hitting Power Lines","329"
"10307","Traffic Sign or Signal Blocked","17"
"11224","Hitting Phone/Cable Lines","10"
"11368","Dead Branches in Tree","54"
"10027","Clear Street Light","8"
"11103","Clear Street Light","13"
"11375","Blocking Street","239"
"11220","Clear Street Light","53"
"11103","Hitting Power/Phone Lines","9"
"10304","Hitting Power Lines","186"
"10303","Traffic Sign or Signal Blocked","17"
"11691","Hitting Power/Phone Lines","21"
"11368","Hitting Power Lines","78"
"10003","Hitting Building","64"
"10304","Traffic Sign or Signal Blocked","33"
"10025","Clear Street Light","17"
"10017","Blocking Street","4"
"11421","Blocking Street","125"
"10307","Hitting Power Lines","131"
"10065","Blocking Street","16"
"10016","Dead Branches in Tree","25"
"11427","Hitting Phone/Cable Lines","49"
"11422","Hitting Phone/Cable Lines","88"
"11214","Hitting Power/Phone Lines","29"
"11238","Clear Street Light","42"
"11414","Blocking Street","168"
"10007","Blocking Street","1"
"10471","Hitting Power Lines","59"
"11412","Hitting Power/Phone Lines","60"
"10002","Dead Branches in Tree","17"
"11369","Blocking Street","127"
"11435","Dead Branches in Tree","68"
"11004","Blocking Street","68"
"10463","Hitting Building","97"
"11433","Hitting Phone/Cable Lines","47"
"11233","Traffic Sign or Signal Blocked","38"
"10021","Dead Branches in Tree","35"
"11217","Clear Street Light","20"
"10017","Traffic Sign or Signal Blocked","3"
"11004","Hitting Power Lines","33"
"10002","Hitting Building","42"
"10312","Dead Branches in Tree","405"
"10033","Blocking Street","19"
"10040","Dead Branches in Tree","13"
"11224","Hitting Building","32"
