"Incident Zip","Problem Detail (formerly Descriptor)","count_descriptor"
"11228","Traffic Sign or Signal Blocked","31"
"11201","Hitting Power/Phone Lines","1"
"11213","Blocking Street","187"
"10023","Hitting Power/Phone Lines","1"
"11212","Traffic Sign or Signal Blocked","22"
"11417","Hitting Power/Phone Lines","53"
"11415","Hitting Power/Phone Lines","2"
"11426","Blocking Street","256"
"11230","Hitting Power/Phone Lines","29"
"10029","Hitting Power/Phone Lines","1"
"11432","Hitting Building","282"
"10473","Dead Branches in Tree","49"
"11219","Hitting Phone/Cable Lines","24"
"11106","Clear Street Light","6"
"10011","Blocking Street","23"
"11102","Hitting Building","151"
"11411","Hitting Power/Phone Lines","9"
"10301","Hitting Power Lines","212"
"10312","Hitting Phone/Cable Lines","230"
"10305","Traffic Sign or Signal Blocked","45"
"11421","Hitting Building","469"
"11106","Blocking Street","106"
"11356","Hitting Power/Phone Lines","22"
"10037","Blocking Street","19"
"11363","Dead Branches in Tree","216"
"11204","Traffic Sign or Signal Blocked","41"
"11230","Dead Branches in Tree","329"
"10309","Clear Street Light","36"
"11422","Hitting Building","312"
"11368","Blocking Street","83"
"11429","Hitting Power Lines","91"
"10460","Hitting Phone/Cable Lines","13"
"11369","Hitting Power Lines","68"
"11429","Traffic Sign or Signal Blocked","9"
"10467","Blocking Street","89"
"11366","Hitting Power Lines","31"
"11373","Dead Branches in Tree","91"
"10009","Hitting Power/Phone Lines","1"
"10013","Blocking Street","13"
"11105","Hitting Phone/Cable Lines","65"
"11001","Hitting Building","53"
"11361","Hitting Power/Phone Lines","40"
"10014","Clear Street Light","4"
"10455","Dead Branches in Tree","10"
"10310","Hitting Phone/Cable Lines","65"
"11001","Dead Branches in Tree","33"
"11104","Clear Street Light","6"
"11238","Hitting Building","361"
"10461","Hitting Power Lines","133"
"11435","Hitting Phone/Cable Lines","57"
"10025","Hitting Building","91"
"10472","Blocking Street","95"
"11370","Hitting Power/Phone Lines","16"
"10044","Dead Branches in Tree","1"
"11691","Dead Branches in Tree","46"
"11209","Clear Street Light","56"
"11209","Hitting Power Lines","95"
"11364","Clear Street Light","54"
"11104","Hitting Power/Phone Lines","5"
"10456","Hitting Building","127"
"11378","Hitting Power/Phone Lines","72"
"11233","Blocking Street","269"
,"Blocking Street","65"
"10467","Hitting Power Lines","95"
"11368","Hitting Building","244"
"11432","Traffic Sign or Signal Blocked","23"
"11224","Dead Branches in Tree","11"
"10023","Traffic Sign or Signal Blocked","8"
"10467","Clear Street Light","29"
"11217","Traffic Sign or Signal Blocked","19"
"11419","Hitting Power/Phone Lines","41"
"10021","Traffic Sign or Signal Blocked","6"
"11201","Dead Branches in Tree","132"
"10009","Blocking Street","18"
"10007","Hitting Building","7"
"10472","Hitting Building","241"
"10075","Clear Street Light","3"
"11362","Blocking Street","107"
"10471","Traffic Sign or Signal Blocked","18"
"11101","Traffic Sign or Signal Blocked","16"
"11356","Hitting Building","175"
"10465","Clear Street Light","37"
"10039","Hitting Building","42"
"11211","Hitting Power/Phone Lines","3"
"10461","Hitting Building","337"
"10305","Hitting Power/Phone Lines","71"
"10033","Clear Street Light","1"
"11201","Hitting Power Lines","1"
"10021","Hitting Building","51"
"11360","Traffic Sign or Signal Blocked","13"
"10302","Traffic Sign or Signal Blocked","12"
"10475","Hitting Phone/Cable Lines","5"
"11101","Hitting Power Lines","25"
"10454","Clear Street Light","14"
"11207","Hitting Phone/Cable Lines","98"
"11236","Clear Street Light","34"
"10023","Blocking Street","13"
"11419","Traffic Sign or Signal Blocked","20"
"11235","Hitting Power/Phone Lines","36"
"10016","Blocking Street","14"
"11432","Hitting Power/Phone Lines","49"
"10453","Dead Branches in Tree","26"
"10466","Hitting Power/Phone Lines","38"
"11432","Hitting Phone/Cable Lines","71"
"10024","Dead Branches in Tree","78"
"10469","Blocking Street","264"
"11203","Blocking Street","435"
"11211","Traffic Sign or Signal Blocked","17"
"11213","Dead Branches in Tree","115"
"11214","Blocking Street","248"
"10456","Clear Street Light","15"
"11103","Hitting Power Lines","33"
"10451","Blocking Street","30"
"11423","Clear Street Light","28"
"11219","Traffic Sign or Signal Blocked","13"
"11233","Hitting Power Lines","27"
"11413","Blocking Street","333"
"11366","Hitting Building","239"
"11221","Hitting Building","561"
"11413","Hitting Power Lines","211"
"11001","Hitting Power/Phone Lines","8"
"10310","Dead Branches in Tree","131"
"10037","Dead Branches in Tree","8"
"11420","Blocking Street","251"
"10065","Traffic Sign or Signal Blocked","4"
"11373","Hitting Power/Phone Lines","35"
"11429","Blocking Street","167"
"10469","Clear Street Light","42"
"11426","Hitting Phone/Cable Lines","38"
"10312","Hitting Power Lines","537"
"10464","Hitting Phone/Cable Lines","13"
"11422","Traffic Sign or Signal Blocked","19"
"10009","Clear Street Light","7"
"11355","Dead Branches in Tree","93"
"10001","Dead Branches in Tree","6"
"11354","Hitting Phone/Cable Lines","26"
"11364","Blocking Street","218"
"11229","Hitting Power/Phone Lines","74"
"11228","Dead Branches in Tree","235"
"10452","Blocking Street","26"
"10308","Hitting Building","275"
"10028","Hitting Phone/Cable Lines","1"
"11375","Hitting Power/Phone Lines","12"
"11218","Blocking Street","273"
"11426","Hitting Power/Phone Lines","18"
"11218","Hitting Phone/Cable Lines","13"
"11232","Dead Branches in Tree","38"
"11694","Hitting Phone/Cable Lines","28"
"11433","Hitting Power Lines","106"
"10013","Clear Street Light","1"
"11370","Hitting Building","224"
"11040","Hitting Building","14"
"10457","Dead Branches in Tree","23"
"11421","Hitting Power/Phone Lines","51"
"11364","Hitting Power Lines","60"
"11374","Dead Branches in Tree","132"
"11693","Hitting Phone/Cable Lines","7"
"11206","Hitting Power Lines","7"
"11103","Blocking Street","138"
"11040","Traffic Sign or Signal Blocked","2"
"10034","Blocking Street","18"
"11217","Hitting Power/Phone Lines","2"
"11692","Hitting Power/Phone Lines","6"
"11436","Clear Street Light","13"
"10033","Hitting Building","39"
"11356","Hitting Power Lines","74"
"11223","Clear Street Light","31"
"11422","Blocking Street","210"
"10472","Dead Branches in Tree","46"
"10466","Traffic Sign or Signal Blocked","30"
"11211","Dead Branches in Tree","101"
"11228","Hitting Phone/Cable Lines","92"
"11249","Traffic Sign or Signal Blocked","9"
"11354","Hitting Power/Phone Lines","16"
"11436","Blocking Street","121"
"11358","Dead Branches in Tree","361"
"10281","Blocking Street","1"
"10017","Clear Street Light","2"
"11004","Dead Branches in Tree","92"
"11216","Hitting Power/Phone Lines","5"
"11216","Hitting Power Lines","9"
"11433","Traffic Sign or Signal Blocked","18"
"11102","Dead Branches in Tree","57"
"11370","Blocking Street","111"
"11226","Traffic Sign or Signal Blocked","33"
"11234","Clear Street Light","71"
"11218","Hitting Power Lines","18"
"11220","Hitting Power/Phone Lines","8"
"10472","Hitting Phone/Cable Lines","23"
"11236","Hitting Building","819"
"10454","Traffic Sign or Signal Blocked","6"
"11423","Dead Branches in Tree","93"
"11226","Hitting Building","336"
"11421","Hitting Phone/Cable Lines","72"
"10162","Blocking Street","1"
"11204","Hitting Power Lines","32"
"10030","Clear Street Light","9"
"11362","Hitting Power Lines","68"
"10303","Hitting Building","107"
"11412","Hitting Phone/Cable Lines","151"
"10465","Traffic Sign or Signal Blocked","31"
"10465","Hitting Phone/Cable Lines","119"
"11217","Dead Branches in Tree","202"
"11370","Hitting Power Lines","45"
"11358","Hitting Phone/Cable Lines","67"
"11691","Blocking Street","96"
"11433","Clear Street Light","28"
"11205","Blocking Street","66"
"10034","Dead Branches in Tree","22"
"11228","Blocking Street","162"
"10470","Hitting Power Lines","53"
"10471","Hitting Phone/Cable Lines","19"
"11363","Blocking Street","80"
"11362","Hitting Building","202"
"11206","Dead Branches in Tree","51"
"10459","Clear Street Light","17"
"11102","Hitting Power/Phone Lines","8"
"11370","Clear Street Light","37"
"10017","Dead Branches in Tree","15"
"10007","Dead Branches in Tree","3"
"10026","Blocking Street","24"
"11416","Dead Branches in Tree","78"
"11103","Dead Branches in Tree","54"
"11102","Blocking Street","72"
"10466","Hitting Building","476"
"11434","Hitting Building","761"
"11201","Hitting Phone/Cable Lines","4"
"11367","Dead Branches in Tree","147"
"11370","Dead Branches in Tree","133"
"10304","Dead Branches in Tree","150"
"11212","Hitting Power Lines","93"
"11005","Traffic Sign or Signal Blocked","1"
"10014","Dead Branches in Tree","44"
"10305","Hitting Phone/Cable Lines","120"
"10024","Traffic Sign or Signal Blocked","4"
"10463","Hitting Power/Phone Lines","11"
"11374","Clear Street Light","35"
"11205","Hitting Building","115"
"11222","Clear Street Light","43"
"10003","Blocking Street","24"
"11415","Clear Street Light","13"
"10453","Hitting Power Lines","11"
"10002","Clear Street Light","9"
"10473","Hitting Power Lines","79"
"11207","Blocking Street","334"
"11226","Hitting Phone/Cable Lines","6"
"11359","Hitting Building","2"
"11212","Blocking Street","169"
"11209","Dead Branches in Tree","457"
"11204","Hitting Phone/Cable Lines","23"
"11420","Dead Branches in Tree","275"
"11206","Clear Street Light","16"
"10009","Hitting Phone/Cable Lines","1"
"11208","Dead Branches in Tree","104"
"11366","Clear Street Light","18"
"10033","Dead Branches in Tree","18"
"11413","Hitting Phone/Cable Lines","128"
"11106","Hitting Power Lines","31"
"10033","Traffic Sign or Signal Blocked","3"
"10065","Hitting Building","42"
"11040","Hitting Power Lines","6"
"10454","Hitting Phone/Cable Lines","6"
"11374","Hitting Power/Phone Lines","12"
"10034","Hitting Building","37"
"10305","Blocking Street","234"
"11369","Hitting Power/Phone Lines","21"
"11211","Hitting Power Lines","13"
"11211","Blocking Street","123"
"11102","Hitting Phone/Cable Lines","18"
"11418","Clear Street Light","23"
"11434","Traffic Sign or Signal Blocked","53"
"10303","Dead Branches in Tree","35"
"10474","Traffic Sign or Signal Blocked","2"
"11103","Hitting Phone/Cable Lines","18"
"10075","Blocking Street","17"
"11232","Hitting Phone/Cable Lines","4"
"10464","Hitting Building","57"
"11426","Clear Street Light","49"
"10121","Traffic Sign or Signal Blocked","2"
"10462","Blocking Street","114"
"10029","Hitting Building","96"
"10472","Traffic Sign or Signal Blocked","19"
"11375","Clear Street Light","30"
"11231","Blocking Street","96"
"11203","Clear Street Light","72"
"11423","Blocking Street","115"
"11228","Clear Street Light","33"
"11229","Traffic Sign or Signal Blocked","43"
"10475","Blocking Street","24"
"11234","Traffic Sign or Signal Blocked","83"
"11374","Blocking Street","81"
"10474","Hitting Power Lines","4"
"11235","Hitting Phone/Cable Lines","46"
"11224","Hitting Power/Phone Lines","2"
"11419","Clear Street Light","39"
"11355","Clear Street Light","10"
"11435","Hitting Power Lines","95"
"10468","Hitting Phone/Cable Lines","7"
"11375","Hitting Building","331"
"10309","Blocking Street","266"
"11102","Hitting Power Lines","33"
"10040","Clear Street Light","3"
"10474","Blocking Street","12"
"11378","Traffic Sign or Signal Blocked","18"
"10308","Blocking Street","259"
"11363","Hitting Power Lines","85"
"11385","Hitting Power Lines","172"
"10457","Blocking Street","56"
"11368","Hitting Phone/Cable Lines","40"
"11235","Dead Branches in Tree","181"
"10024","Hitting Building","112"
"10019","Blocking Street","6"
"11101","Hitting Phone/Cable Lines","14"
"11412","Hitting Building","498"
"10014","Traffic Sign or Signal Blocked","8"
"11217","Hitting Building","355"
"10301","Hitting Phone/Cable Lines","92"
"11205","Dead Branches in Tree","79"
"10306","Hitting Phone/Cable Lines","222"
"11210","Hitting Power/Phone Lines","69"
"11370","Hitting Phone/Cable Lines","31"
"11237","Traffic Sign or Signal Blocked","14"
"11040","Hitting Power/Phone Lines","3"
"10456","Dead Branches in Tree","24"
"11428","Hitting Power/Phone Lines","23"
"11232","Hitting Power Lines","6"
"11369","Dead Branches in Tree","107"
"10032","Dead Branches in Tree","19"
"11362","Clear Street Light","23"
"11379","Dead Branches in Tree","305"
"11365","Blocking Street","214"
"11375","Hitting Power Lines","52"
"11369","Hitting Building","293"
"11355","Blocking Street","115"
"11427","Dead Branches in Tree","115"
"11369","Clear Street Light","24"
"10455","Hitting Power/Phone Lines","6"
"10075","Traffic Sign or Signal Blocked","5"
"11220","Hitting Power Lines","11"
"11218","Traffic Sign or Signal Blocked","31"
"11360","Dead Branches in Tree","96"
"11228","Hitting Power/Phone Lines","40"
"11236","Hitting Power Lines","436"
"11417","Clear Street Light","22"
"11040","Blocking Street","16"
"10029","Blocking Street","28"
"11207","Traffic Sign or Signal Blocked","38"
"10035","Hitting Building","85"
"11417","Hitting Power Lines","130"
"11379","Hitting Power/Phone Lines","46"
"10040","Traffic Sign or Signal Blocked","4"
"11237","Hitting Phone/Cable Lines","20"
"10028","Dead Branches in Tree","31"
"11212","Hitting Phone/Cable Lines","58"
"10301","Hitting Power/Phone Lines","57"
"11354","Hitting Power Lines","72"
"10002","Traffic Sign or Signal Blocked","5"
"10459","Dead Branches in Tree","19"
"11361","Blocking Street","207"
"11361","Hitting Power Lines","162"
"11234","Hitting Power/Phone Lines","198"
"11364","Hitting Phone/Cable Lines","19"
"10462","Hitting Power/Phone Lines","28"
"11435","Traffic Sign or Signal Blocked","16"
"11434","Hitting Power/Phone Lines","136"
"11213","Traffic Sign or Signal Blocked","21"
"11367","Clear Street Light","78"
"11229","Hitting Building","762"
"10306","Traffic Sign or Signal Blocked","73"
"11237","Hitting Power/Phone Lines","7"
"10312","Hitting Power/Phone Lines","139"
"10310","Blocking Street","155"
"11416","Hitting Building","247"
"10069","Hitting Building","1"
"11358","Clear Street Light","46"
"11372","Hitting Power/Phone Lines","2"
"11359","Dead Branches in Tree","1"
"11238","Traffic Sign or Signal Blocked","35"
"11207","Dead Branches in Tree","157"
"11693","Hitting Building","33"
"10075","Hitting Building","39"
"10280","Hitting Building","3"
"11358","Hitting Power Lines","148"
"11249","Blocking Street","52"
"11204","Hitting Building","658"
"11357","Hitting Building","487"
"10309","Hitting Phone/Cable Lines","104"
"11233","Dead Branches in Tree","124"
"11212","Hitting Building","344"
"11411","Hitting Building","209"
"10451","Traffic Sign or Signal Blocked","9"
"10012","Traffic Sign or Signal Blocked","3"
"10029","Clear Street Light","4"
"11360","Hitting Power Lines","24"
"11226","Hitting Power Lines","7"
"10030","Dead Branches in Tree","31"
"10455","Blocking Street","42"
"10468","Blocking Street","45"
"10010","Traffic Sign or Signal Blocked","2"
"10464","Hitting Power/Phone Lines","10"
"11222","Hitting Power Lines","41"
"10013","Hitting Building","28"
"10457","Clear Street Light","20"
"10022","Traffic Sign or Signal Blocked","4"
"10452","Hitting Power Lines","6"
"10468","Hitting Power Lines","12"
"11218","Hitting Power/Phone Lines","5"
"11361","Traffic Sign or Signal Blocked","31"
"10301","Blocking Street","163"
"11419","Hitting Power Lines","143"
"11201","Clear Street Light","12"
"10039","Clear Street Light","2"
"11385","Dead Branches in Tree","337"
"10460","Blocking Street","53"
"11416","Traffic Sign or Signal Blocked","13"
"11226","Clear Street Light","37"
"11412","Dead Branches in Tree","228"
"11354","Dead Branches in Tree","161"
"11423","Hitting Phone/Cable Lines","41"
"11354","Clear Street Light","40"
"11214","Traffic Sign or Signal Blocked","22"
"10452","Traffic Sign or Signal Blocked","9"
"10014","Hitting Building","90"
"10006","Traffic Sign or Signal Blocked","3"
"11208","Hitting Phone/Cable Lines","160"
"11691","Clear Street Light","13"
"11102","Clear Street Light","7"
"11692","Blocking Street","35"
"10013","Dead Branches in Tree","13"
"10462","Hitting Power Lines","76"
"11236","Hitting Power/Phone Lines","144"
"11234","Hitting Phone/Cable Lines","352"
"11225","Hitting Power/Phone Lines","5"
"11423","Hitting Building","194"
"11412","Clear Street Light","44"
"10001","Traffic Sign or Signal Blocked","7"
"11225","Dead Branches in Tree","132"
"11238","Dead Branches in Tree","196"
"11222","Dead Branches in Tree","110"
"10035","Blocking Street","32"
"10009","Traffic Sign or Signal Blocked","6"
"10302","Hitting Power/Phone Lines","50"
"11228","Hitting Building","343"
"10459","Hitting Power Lines","24"
"11428","Dead Branches in Tree","132"
"11226","Dead Branches in Tree","132"
"10457","Hitting Power/Phone Lines","4"
"10003","Hitting Power Lines","1"
"10466","Hitting Phone/Cable Lines","109"
"10454","Hitting Building","61"
"11213","Hitting Building","355"
"10037","Hitting Building","22"
"11385","Hitting Power/Phone Lines","43"
"11422","Dead Branches in Tree","128"
"11210","Hitting Phone/Cable Lines","113"
"10301","Clear Street Light","30"
"11385","Hitting Phone/Cable Lines","115"
"10314","Clear Street Light","83"
"10022","Clear Street Light","4"
"10451","Hitting Building","67"
"11201","Traffic Sign or Signal Blocked","13"
"11216","Hitting Building","490"
"10307","Dead Branches in Tree","70"
"11218","Hitting Building","597"
"11694","Hitting Building","46"
"11375","Dead Branches in Tree","291"
"10305","Hitting Building","301"
"11205","Traffic Sign or Signal Blocked","10"
"11361","Hitting Phone/Cable Lines","73"
"10452","Hitting Phone/Cable Lines","5"
"10304","Blocking Street","192"
"11423","Hitting Power Lines","102"
"11355","Hitting Phone/Cable Lines","42"
"11231","Clear Street Light","29"
"11433","Dead Branches in Tree","68"
"11207","Hitting Power/Phone Lines","44"
"11221","Traffic Sign or Signal Blocked","22"
"10466","Clear Street Light","40"
"11354","Traffic Sign or Signal Blocked","38"
"11377","Hitting Power Lines","48"
"10011","Traffic Sign or Signal Blocked","3"
"11412","Blocking Street","325"
"10461","Hitting Phone/Cable Lines","71"
"11693","Dead Branches in Tree","6"
"11436","Traffic Sign or Signal Blocked","13"
"11215","Traffic Sign or Signal Blocked","26"
"10019","Dead Branches in Tree","14"
"11004","Hitting Power/Phone Lines","11"
"11238","Hitting Phone/Cable Lines","6"
"11426","Hitting Power Lines","76"
"11223","Hitting Phone/Cable Lines","121"
"10465","Hitting Power/Phone Lines","78"
"11206","Hitting Power/Phone Lines","5"
"10473","Traffic Sign or Signal Blocked","14"
"11416","Clear Street Light","18"
"11366","Hitting Power/Phone Lines","12"
"11212","Clear Street Light","46"
"11379","Traffic Sign or Signal Blocked","26"
"11693","Blocking Street","18"
"11360","Hitting Phone/Cable Lines","18"
"10027","Blocking Street","52"
"10021","Clear Street Light","9"
"11362","Traffic Sign or Signal Blocked","25"
"11105","Dead Branches in Tree","175"
"11238","Hitting Power Lines","10"
"10312","Traffic Sign or Signal Blocked","126"
"11366","Traffic Sign or Signal Blocked","8"
"11427","Hitting Building","251"
"10463","Blocking Street","69"
"11423","Hitting Power/Phone Lines","27"
"11428","Hitting Power Lines","112"
"10028","Clear Street Light","3"
"11355","Hitting Power Lines","75"
"11426","Dead Branches in Tree","272"
"11385","Clear Street Light","37"
"10004","Hitting Building","3"
"11433","Hitting Power/Phone Lines","41"
"11212","Hitting Power/Phone Lines","17"
"11109","Traffic Sign or Signal Blocked","1"
"11203","Traffic Sign or Signal Blocked","47"
"10462","Traffic Sign or Signal Blocked","6"
"10038","Hitting Building","8"
"11204","Blocking Street","235"
"11210","Blocking Street","438"
"11379","Hitting Power Lines","134"
"10308","Hitting Power Lines","285"
"11205","Hitting Power Lines","5"
"11220","Hitting Building","301"
"10459","Hitting Phone/Cable Lines","11"
"11232","Traffic Sign or Signal Blocked","5"
"11364","Hitting Power/Phone Lines","25"
"11419","Dead Branches in Tree","133"
"11223","Traffic Sign or Signal Blocked","32"
"11040","Hitting Phone/Cable Lines","2"
"10463","Dead Branches in Tree","52"
"10458","Dead Branches in Tree","24"
"11214","Dead Branches in Tree","214"
"11215","Hitting Building","606"
"11210","Dead Branches in Tree","260"
"10019","Hitting Phone/Cable Lines","1"
"10453","Hitting Phone/Cable Lines","7"
"11239","Dead Branches in Tree","8"
"11215","Dead Branches in Tree","377"
"11211","Hitting Phone/Cable Lines","16"
"10304","Hitting Building","263"
"11414","Clear Street Light","22"
"10028","Blocking Street","23"
"10468","Clear Street Light","16"
"10003","Traffic Sign or Signal Blocked","3"
"11361","Hitting Building","359"
"11231","Hitting Phone/Cable Lines","10"
"10010","Dead Branches in Tree","10"
"11362","Hitting Power/Phone Lines","11"
"10459","Hitting Building","71"
"11215","Hitting Power Lines","6"
"11104","Blocking Street","67"
"10026","Clear Street Light","10"
"10454","Hitting Power Lines","3"
"10007","Hitting Power/Phone Lines","2"
"10468","Dead Branches in Tree","15"
"11366","Hitting Phone/Cable Lines","12"
"11207","Clear Street Light","59"
"11218","Clear Street Light","82"
"10475","Hitting Power/Phone Lines","1"
"11414","Hitting Phone/Cable Lines","29"
"11233","Hitting Phone/Cable Lines","26"
"10457","Traffic Sign or Signal Blocked","4"
"11360","Clear Street Light","15"
"10036","Hitting Building","19"
"11238","Blocking Street","177"
"10306","Blocking Street","466"
"11354","Blocking Street","130"
"11206","Hitting Phone/Cable Lines","13"
"10307","Hitting Building","87"
"11225","Traffic Sign or Signal Blocked","12"
"10475","Hitting Power Lines","13"
"10002","Hitting Power/Phone Lines","1"
"10022","Blocking Street","12"
"10036","Traffic Sign or Signal Blocked","6"
"11415","Dead Branches in Tree","54"
"11101","Dead Branches in Tree","41"
"10302","Hitting Power Lines","124"
"11372","Hitting Power Lines","10"
"10461","Clear Street Light","22"
"10011","Dead Branches in Tree","50"
"11377","Blocking Street","217"
"11411","Traffic Sign or Signal Blocked","16"
"11105","Hitting Power Lines","78"
"11435","Blocking Street","122"
"10025","Blocking Street","32"
"11374","Traffic Sign or Signal Blocked","27"
"10016","Clear Street Light","2"
"10280","Dead Branches in Tree","2"
"11229","Hitting Phone/Cable Lines","112"
"10301","Hitting Building","205"
"10472","Clear Street Light","35"
"10303","Clear Street Light","3"
"10458","Traffic Sign or Signal Blocked","10"
"11416","Hitting Power/Phone Lines","39"
"11362","Hitting Phone/Cable Lines","34"
"11201","Blocking Street","75"
"10037","Traffic Sign or Signal Blocked","17"
"11232","Blocking Street","49"
"11363","Hitting Power/Phone Lines","34"
"11203","Hitting Building","864"
"10301","Dead Branches in Tree","141"
"10467","Dead Branches in Tree","41"
"10314","Hitting Power Lines","433"
"11356","Clear Street Light","2"
"10307","Clear Street Light","14"
"11237","Hitting Building","240"
"11366","Blocking Street","105"
"10463","Traffic Sign or Signal Blocked","19"
"11435","Hitting Building","303"
"11217","Hitting Power Lines","8"
"10455","Hitting Phone/Cable Lines","9"
"11378","Blocking Street","150"
"10016","Hitting Phone/Cable Lines","2"
"11106","Traffic Sign or Signal Blocked","11"
"10011","Hitting Power Lines","1"
"10018","Traffic Sign or Signal Blocked","2"
"11215","Hitting Power/Phone Lines","3"
"11422","Hitting Power/Phone Lines","88"
"10009","Hitting Building","98"
"11237","Blocking Street","54"
"11249","Dead Branches in Tree","13"
"11204","Clear Street Light","53"
"10309","Dead Branches in Tree","152"
"11420","Hitting Building","728"
"11415","Hitting Phone/Cable Lines","6"
"10030","Blocking Street","18"
"11420","Hitting Phone/Cable Lines","122"
"10466","Blocking Street","164"
"11427","Clear Street Light","28"
"10033","Hitting Power Lines","3"
"11203","Hitting Phone/Cable Lines","129"
"11693","Traffic Sign or Signal Blocked","3"
"11374","Hitting Building","255"
"11692","Dead Branches in Tree","7"
"11369","Hitting Phone/Cable Lines","39"
"11249","Hitting Building","84"
"11222","Blocking Street","154"
"10474","Dead Branches in Tree","2"
"11219","Hitting Building","317"
"10069","Traffic Sign or Signal Blocked","2"
"10452","Dead Branches in Tree","14"
"10021","Blocking Street","19"
"10308","Clear Street Light","16"
"11418","Dead Branches in Tree","93"
"10454","Hitting Power/Phone Lines","4"
"11693","Hitting Power Lines","11"
"10475","Traffic Sign or Signal Blocked","14"
